Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,LeBron James (26449774),LeBron James,26449774,PF/C/F/UTIL,11500,SAC@LAL 01/18/2023 10:30PM ET,LAL,53.71
C,Nikola Jokic (26449778),Nikola Jokic,26449778,C/UTIL,11400,MIN@DEN 01/18/2023 10:00PM ET,DEN,57.92
C,Domantas Sabonis (26449782),Domantas Sabonis,26449782,C/UTIL,10500,SAC@LAL 01/18/2023 10:30PM ET,SAC,48.15
SF/PF,Kawhi Leonard (26449784),Kawhi Leonard,26449784,SF/PF/F/UTIL,10300,LAC@UTA 01/18/2023 09:00PM ET,LAC,35.24
PG,Ja Morant (26449788),Ja Morant,26449788,PG/G/UTIL,10200,CLE@MEM 01/18/2023 08:00PM ET,MEM,48.92
PF,Julius Randle (26449791),Julius Randle,26449791,PF/F/UTIL,10100,WAS@NYK 01/18/2023 07:30PM ET,NYK,46.62
PG,Shai Gilgeous-Alexander (26449794),Shai Gilgeous-Alexander,26449794,PG/G/UTIL,10000,IND@OKC 01/18/2023 08:00PM ET,OKC,49.58
PG,LaMelo Ball (26449797),LaMelo Ball,26449797,PG/G/UTIL,9600,CHA@HOU 01/18/2023 08:00PM ET,CHA,47.66
PG,Trae Young (26449800),Trae Young,26449800,PG/G/UTIL,9500,ATL@DAL 01/18/2023 07:30PM ET,ATL,47.63
SF/PF,Lauri Markkanen (26449803),Lauri Markkanen,26449803,SF/PF/F/UTIL,9400,LAC@UTA 01/18/2023 09:00PM ET,UTA,41.67
PF,Zion Williamson (26449807),Zion Williamson,26449807,PF/F/UTIL,9300,MIA@NOP 01/18/2023 08:00PM ET,NOP,43.57
SG/SF,Paul George (26449813),Paul George,26449813,SG/SF/F/G/UTIL,9100,LAC@UTA 01/18/2023 09:00PM ET,LAC,42.88
PG,CJ McCollum (26449821),CJ McCollum,26449821,PG/G/UTIL,9000,MIA@NOP 01/18/2023 08:00PM ET,NOP,39.4
PG,Russell Westbrook (26449818),Russell Westbrook,26449818,PG/G/UTIL,9000,SAC@LAL 01/18/2023 10:30PM ET,LAL,38.25
PF/C,Kristaps Porzingis (26449828),Kristaps Porzingis,26449828,PF/C/F/UTIL,8900,WAS@NYK 01/18/2023 07:30PM ET,WAS,42.01
C,Bam Adebayo (26449832),Bam Adebayo,26449832,C/UTIL,8800,MIA@NOP 01/18/2023 08:00PM ET,MIA,42.14
PF,Jimmy Butler (26449839),Jimmy Butler,26449839,PF/F/UTIL,8700,MIA@NOP 01/18/2023 08:00PM ET,MIA,42.36
SG/SF,Anthony Edwards (26449834),Anthony Edwards,26449834,SG/SF/F/G/UTIL,8700,MIN@DEN 01/18/2023 10:00PM ET,MIN,42.28
PF/C,Christian Wood (26449842),Christian Wood,26449842,PF/C/F/UTIL,8600,ATL@DAL 01/18/2023 07:30PM ET,DAL,34.79
PG,Jalen Brunson (26449846),Jalen Brunson,26449846,PG/G/UTIL,8500,WAS@NYK 01/18/2023 07:30PM ET,NYK,38.65
PF/C,Karl-Anthony Towns (26449849),Karl-Anthony Towns,26449849,PF/C/F/UTIL,8400,MIN@DEN 01/18/2023 10:00PM ET,MIN,41.71
PG,De'Aaron Fox (26449853),De'Aaron Fox,26449853,PG/G/UTIL,8300,SAC@LAL 01/18/2023 10:30PM ET,SAC,40.45
SF/PF,Kyle Kuzma (26449856),Kyle Kuzma,26449856,SF/PF/F/UTIL,8200,WAS@NYK 01/18/2023 07:30PM ET,WAS,38.77
PG,Darius Garland (26449860),Darius Garland,26449860,PG/G/UTIL,8100,CLE@MEM 01/18/2023 08:00PM ET,CLE,39.26
PG/SG,Dejounte Murray (26449863),Dejounte Murray,26449863,PG/SG/G/UTIL,8000,ATL@DAL 01/18/2023 07:30PM ET,ATL,40.54
